added,cpId,enquiryId,id,lastModified,propertyId,reviews,status,timestamp
2024-12-11,CPA022,EQA174,0VmskV2sBF6TO9jVWzhk,2024-12-11,P413,,pending,
2024-12-12,CPA107,EQA186,1X0uC32jk6TwoRvsFs9V,2024-12-12,P464,,pending,
2024-12-13,CPA138,EQA205,1Z8GqgF1VjkGqciGsKgP,2024-12-13,P573,,pending,
2024-12-03,CPA058,EQA071,1iuU3sJdnXLCQhAWE9Wj,2024-12-03,P922,,pending,
2024-12-04,CPA539,EQA087,1pjC9ASksDPe60mL8Z6s,2024-12-04,P971,,pending,
2024-12-17,CPA634,EQA241,210rvQLAdlvYgTCYLYTl,2024-12-17,PA1068,,pending,
2024-12-03,CPA481,EQA077,2F8XxnkDgWVEmk4IhTZH,2024-12-03,P953,,pending,
2024-11-29,CPA329,EQA048,2NSYTfXjnW71WdHuq9M2,2024-11-29,P009,,pending,
2024-12-04,INT001,EQA113,2XLt3DhWDX9vvzftFyVw,2024-12-04,P970,,,
2024-12-19,CPA545,EQA259,2avyK8rnU8M2wf27LEzJ,2024-12-19,P258,,pending,
2024-12-01,INT001,EQA053,2gP1jhSnfxa0VEQNJW3d,2024-12-01,P945,,pending,
,CP_A010,EQ_A008,2qBxJSvkyXjHqY0jaLo5,,P858,,pending,1732650571
2024-12-04,INT001,EQA103,3ZcA29ffguwuxCrydIuX,2024-12-04,P971,,pending,
2024-11-28,CPA000,EQA022,3b0V8wNGMHVoZundl6a7,2024-11-28,P879,,pending,
2024-12-12,CPA056,EQA191,4SwYHUC8l4WbgiHXj17h,2024-12-12,P787,,pending,
2024-11-27,CP_A010,EQ_A012,4fSWgq5YA475UqZ9ZXjV,2024-11-27,P867,,pending,
2024-12-02,CPA100,EQA066,5rI5jFMxoDMehtn5bqdo,2024-12-02,P936,,pending,
2024-12-19,CPA170,EQA261,5ydagi2N71aYAxYDe7BW,2024-12-19,P965,,pending,
2024-12-11,CPA565,EQA181,64gTPqMebNN0HthO51tb,2024-12-11,P067,,pending,
2024-12-14,CPA422,EQA216,6Khn3BsTBMPeaOc0hYth,2024-12-14,P994,,pending,
2024-12-19,INT005,EQA256,6QEsmv2qBrtWp7WKpVED,2024-12-19,PA1116,,pending,
2024-12-18,CPA500,EQA250,6QXbdgN1IRomNblEq6Sy,2024-12-18,PA1116,,pending,
2024-12-06,CPA058,EQA139,6bvxZgRg5s6bgJ4JGIbP,2024-12-06,P936,,pending,
2024-11-28,CPA000,EQA033,6uNS0qcANHL3lnEFnXfP,2024-11-28,P906,,pending,
2024-12-02,CPA100,EQA065,7ORefUk86735HGPifETP,2024-12-02,P952,,pending,
2024-12-13,CPA138,EQA210,7XttN6VWRiesUs4H2QNj,2024-12-13,P849,,pending,
2024-11-28,INT003,EQA041,7dmiXcT7NpRP2eGOiqcY,2024-11-28,P886,"[{'review': 'Okayish', 'stars': 4, 'timestamp': 1734269040}]",pending,
2024-11-28,CP_A010,EQA019,7muOOLnCIVlZpF2CTZI2,2024-11-28,P880,,pending,
2024-11-28,CPA522,EQA040,7nmM1KHUmrXt3ZgKdt8L,2024-11-28,P906,,pending,
2024-12-05,CPA500,EQA117,7rEK4XDnEnLMyjtMbhsA,2024-12-05,P791,,pending,
2024-12-14,CPA138,EQA211,84X1NXElgLgoFrheM3MK,2024-12-14,P605,,pending,
2024-12-16,CPA563,EQA228,8i8aAC2sQyIzKgXLX12L,2024-12-16,P733,,pending,
2024-12-18,CPA637,EQA247,94tQhfPwrsh4qf7y8mY3,2024-12-18,PA1106,,pending,
2024-12-04,CPA570,EQA114,9katD0e1Z5OZiHE87zuW,2024-12-04,P272,,pending,
2024-12-04,INT004,EQA110,9wf7UsbZmJhaYmRcMu0D,2024-12-04,P970,,pending,
2024-12-06,CPA583,EQA134,A125wkvEH7X9CPrz0j4O,2024-12-06,P994,,pending,
2024-12-10,CPA116,EQA169,A9X5sv0UoYqs7xGgYEYL,2024-12-10,P864,,pending,
2024-12-18,CPA478,EQA248,AMb23DIcvfyIVJJLqyc3,2024-12-18,P746,,pending,
2024-12-16,CPA622,EQA235,AbVEqKgsGwgilHuv44Er,2024-12-16,PA1042,,pending,
2024-11-27,CP_A010,EQA017,BHOoadFNRZiMZ65XCsf1,2024-11-27,P880,,pending,
2024-12-11,CPA486,EQA175,BnA8VqY4I4NtNAr2yPjp,2024-12-11,P541,,pending,
2024-12-07,CPA457,EQA145,BnUgMf8znuCEIFGyNlaN,2024-12-07,P230,,pending,
2024-12-06,CPA500,EQA136,CRCH3BnqHvaF7UTjW3t2,2024-12-06,P049,,pending,
2024-12-18,CPA500,EQA246,D3p0pqiCwaOaf6Z5ReAi,2024-12-18,P385,,pending,
2024-12-04,CPA537,EQA100,D5vlp9BE5YMAvmQzdmzO,2024-12-04,P970,,pending,
2024-12-06,CPA565,EQA132,D6SNBCQSS3Gf2SMmcnnK,2024-12-06,P547,,pending,
