added,agentCpid,area,assetType,budget_from,budget_to,configuration,lastModified,marketValue,propertyName,requirementDetails,requirementId,status
2024-12-13,INT002,0,apartment,,,1 BHK,1734100226,Market Value,test,,RQA126,Closed
2024-11-28,INT001,0,villa,,,3BHK,1732795848,Market Value,NCC urban Greens villa,"NCC urban Greens villa, 3 BHK, 4 BHK, Villa 4cr",RQA078,Pending
2024-12-14,CPA363,3000,apartment,5,5.5,4 BHK,1734182395,,salarpuria sattva luxuria,4 bhk,RQA127,Pending
2024-12-06,CPA584,4000,bungalow,1,1.25,3BHK,1733480373,,JAYANAGAR,Required Independent  3/4bhk For RENT,RQA109,Pending
2024-11-28,INT001,0,duplex,,,4BHK,1732798463,Market Value,Embassy Groove,"Duplex or triplex in Embassy Groove , Golf course facing as per market price",RQA087,Pending
2024-11-29,INT001,0,apartment,,,2 BHK,1732879155,Market Value,Prestige Misty Water,"2 BHK , as per market",RQA093,Pending
2024-12-23,CPA638,3000,apartment,4,4.2,3.5 BHK,1734941050,,Addharsh Palm Springs ,"- Budget is 4 Cr
- Upto 3000 sqft
-  Shouldn't be in the ground floor
- 3 or 4 BHK with servant quarters",RQA138,Pending
2024-12-15,CPA500,0,apartment,0,10,3 BHK,1734267882,,Bangalore,Any kind of property with only guidance value on paper. ,RQA130,Pending
2024-12-03,CPA409,3000,apartment,,,3 BHK,1733218332,Market Value,South Bangalore ,"Sobha morzaria grandeur 
Mahindra windchimes 
Prestige pinewood 
Snn raj lake view",RQA100,Pending
2024-12-11,CPA609,0,villa,,,4BHK,1733917594,Market Value,Chaitniya samarpan,Villa,RQA123,Pending
2024-12-10,CPA392,0,apartment,,,3 BHK,1733792684,Market Value,Whitefield ,3 bhk budget 2.5 cr,RQA119,Pending
2024-12-06,CPA584,0,apartment,2,2.5,,1733480373,,Birla Tisya ,Required 3bhk Immediate settlement ,RQA108,Pending
2024-11-29,INT002,0,apartment,,,2 BHK,1732878657,Market Value,Niko homes phase 2,,RQA090,Pending
2024-12-09,CPA584,1369,apartment,2.5,2.7,3 BHK,1733770897,,Birla TISYA,Required 3bhk ,RQA118,Pending
2024-12-14,CPA363,600,apartment,4.5,5,1 BHK,1734182395,,vaishnavi serein,,RQA129,Pending
2024-12-07,CPA584,1263,apartment,1.7,2.25,2 BHK,1733560786,,Prestige Westwoods ,Required urgently 2/2.5bhk Preferred East/West facing Immediate Settlement,RQA112,Pending
2024-11-29,CPA170,1300,apartment,1.2,1.4,,1732884111,,Jayanagar /Basavangudi/Jp nagar 4th phase,"Bhk -2 or 3 Bhk
Facing - East or North 
Age of building - less than 7 years 
Budget - 1.4 cr
Preferred hindu community.
Immediate booking 
Self funding",RQA095,Pending
2024-12-19,INT002,0,apartment,,,3 BHK,1734599879,Market Value,test,,RQA134,Closed
2024-12-21,CPA584,3000,apartment,2.5,3.5,,1734782664,,JPNAGAR near Delmia Circle,Required 3/4bhk Apartment for immediate purchase,RQA136,Pending
2024-12-23,CPA011,1800,apartment,,,3 BHK,1734922546,Market Value,Sobha Windsor,"3 BHK, 1800 plus sq.ft, above 10th floor, balcony facing should be east, preferred Wings are 3 & 4 mainly and Wings 7 & 8  also fine.
Purchaser is into C component of 30%  total value.",RQA137,Closed
