added,area,lastModified,propertyName,budget,marketValue,agentCpid,assetType,status,requirementId,configuration,requirementDetails,id,added (Type),area (Type),lastModified (Type),propertyName (Type),budget (Type),marketValue (Type),agentCpid (Type),assetType (Type),status (Type),requirementId (Type),configuration (Type),requirementDetails (Type),id (Type)
1734080426,0,1734100226,test,"{'from': '', 'to': ''}",Market Value,INT002,apartment,Closed,RQA126,1 BHK,,2xBU3qd2jAbyxuaLiuHG,int,int,int,str,dict,str,str,str,str,str,str,str,str
1732776048,0,1732795848,NCC urban Greens villa,"{'from': '', 'to': ''}",Market Value,INT001,villa,Pending,RQA078,3BHK,"NCC urban Greens villa, 3 BHK, 4 BHK, Villa 4cr",5D7ibrkK8GuB3drxofYb,int,int,int,str,dict,str,str,str,str,str,str,str,str
1734162595,3000,1734182395,salarpuria sattva luxuria,"{'to': 5.5, 'from': 5}",,CPA363,apartment,Pending,RQA127,4 BHK,4 bhk,5rCB81rih6mltbYWYti0,int,int,int,str,dict,str,str,str,str,str,str,str,str
1733460573,4000,1733480373,JAYANAGAR,"{'from': 1, 'to': 1.25}",,CPA584,bungalow,Pending,RQA109,3BHK,Required Independent  3/4bhk For RENT,6cvBr0y7yVfkDCux6nh4,int,int,int,str,dict,str,str,str,str,str,str,str,str
1732778663,0,1732798463,Embassy Groove,"{'from': '', 'to': ''}",Market Value,INT001,duplex,Pending,RQA087,4BHK,"Duplex or triplex in Embassy Groove , Golf course facing as per market price",9ZNII6u1nrUemSy5lkOj,int,int,int,str,dict,str,str,str,str,str,str,str,str
1732859355,0,1732879155,Prestige Misty Water,"{'from': '', 'to': ''}",Market Value,INT001,apartment,Pending,RQA093,2 BHK,"2 BHK , as per market",AsVawMNUj654K9C6sKbJ,int,int,int,str,dict,str,str,str,str,str,str,str,str
1734921250,3000,1734941050,Addharsh Palm Springs ,"{'from': 4, 'to': 4.2}",,CPA638,apartment,Pending,RQA138,3.5 BHK,"- Budget is 4 Cr
- Upto 3000 sqft
-  Shouldn't be in the ground floor
- 3 or 4 BHK with servant quarters",BgTHhTMwB7by3946EIJ3,int,int,int,str,dict,str,str,str,str,str,str,str,str
1734248082,0,1734267882,Bangalore,"{'from': 0, 'to': 10}",,CPA500,apartment,Pending,RQA130,3 BHK,Any kind of property with only guidance value on paper. ,DlzKiLaZKJBlbXTij7Ms,int,int,int,str,dict,str,str,str,str,str,str,str,str
1733198532,3000,1733218332,South Bangalore ,"{'from': '', 'to': ''}",Market Value,CPA409,apartment,Pending,RQA100,3 BHK,"Sobha morzaria grandeur 
Mahindra windchimes 
Prestige pinewood 
Snn raj lake view",ELSxUsN09YkdObjZCYwo,int,int,int,str,dict,str,str,str,str,str,str,str,str
1733897794,0,1733917594,Chaitniya samarpan,"{'from': '', 'to': ''}",Market Value,CPA609,villa,Pending,RQA123,4BHK,Villa,FJgqSefMyyPbMqUEeI3s,int,int,int,str,dict,str,str,str,str,str,str,str,str
